041,GILCHRIST
107,PUTNAM
123,TAYLOR
091,OKALOOSA
013,CALHOUN
099,PALM BEACH
111,ST. LUCIE
117,SEMINOLE
095,ORANGE
017,CITRUS
053,HERNANDO
103,PINELLAS
121,SUWANNEE
031,DUVAL
067,LAFAYETTE
045,GULF
125,UNION
007,BRADFORD
129,WAKULLA
009,BREVARD
105,POLK
097,OSCEOLA
055,HIGHLANDS
071,LEE
021,COLLIER
025,DADE
087,MONROE
113,SANTA ROSA
131,WALTON
063,JACKSON
101,PASCO
039,GADSDEN
073,LEON
065,JEFFERSON
079,MADISON
077,LIBERTY
047,HAMILTON
005,BAY
023,COLUMBIA
003,BAKER
059,HOLMES
133,WASHINGTON
089,NASSAU
085,MARTIN
033,ESCAMBIA
093,OKEECHOBEE
037,FRANKLIN
001,ALACHUA
109,ST. JOHNS
057,HILLSBOROUGH
081,MANATEE
019,CLAY
049,HARDEE
083,MARION
127,VOLUSIA
029,DIXIE
069,LAKE
075,LEVY
119,SUMTER
043,GLADES
015,CHARLOTTE
115,SARASOTA
027,DESOTO
035,FLAGLER
051,HENDRY
061,INDIAN RIVER
011,BROWARD
